village,District,Eastings,Nothings,Latitude,Longitude,ecoli,pH,Electrical Conductivity,turbidity,Color (Apparent),Total dissolved salts,Total Alkalinity ,Bicarbonates,Total hardness ,Calcium Hardardness ,magnesium hardness,Flouride,Chloride,sulphate,Nitrites ,Nitrates-N ,Ammonium-N ,Phosphates-P 
Bugembe,Jinja,526362,51478,85.48290416,30.31516443,0,6.9,103,2.34,22,0,43,0,33,18,0,0.26236,0,4.10009,0.01509,0.3225,0.16075,0.03779
Masese,jinja,526349,49702,85.89823617,28.89390334,0,6.7,111,2.23,20,0,48,0,35,19,0,0.22605,0,3.72661,0.00318,2.49162,0.002,0.09726
Masese,Jinja,526921,48543,86.23344562,27.95341553,0,6.8,101,2.92,15,0,41,0,27,19,0,0.25573,0,4.27461,0.0076,0.51466,0.03963,0.05778
Rubaga hill,jinja,523658,49584,85.61111063,28.99085374,0,6.6,648,2.12,4,0,175,0,310,125,0,0.6697,0,69.27158,0.00678,6.686,0.002,0.99905
Mpumudde,Jinja,523831,51559,85.16663819,30.57350017,0,6.8,1041,3.48,27,0,320,0,430,230,0,0.681,0,62.21922,0.08142,17.75154,0.02197,0.05519
Mawuta,Jinja,524050,54463,84.47589378,33.03750813,0,6.9,1393,6.25,75,0,350,0,730,400,0,0.31554,0,233.9129,0.01351,0.31634,0.002,0.11509
Nsube,Jinja,524435,61008,82.76011755,39.35361044,0,6.5,492,1.91,1,0,230,0,220,105,0,0.26735,0,21.39238,0.00658,6.69617,0.002,0.04659
Mutai,Jinja,524220,61707,82.53544459,40.13384802,0,6,292,1.85,1,0,91,0,120,60,0,0.27796,0,27.93701,0.00355,6.14984,0.04345,0.11088
Mutai,Jinja,523590,62539,82.22336215,41.12985069,0,6.7,106,2.11,11,0,41,0,36,16,0,0.29205,0,4.95072,0.00256,0.51079,0.02983,0.10657
Kagoma,Jinja,522300,65456,81.21107555,44.77653282,0,5.4,198,2.37,6,0,38,0,62,38,0,0.05172,0,14.85099,0.00502,7.59498,0.00394,0.02826
Nalufenya,Jinja,521619,48543,85.63247755,28.30298304,0,6.8,104,2.43,22,0,46,0,33,20,0,0.28131,0,4.89396,0.03649,0.22467,0.11817,0.02851
Butakanila,Bugiri,583492,60709,97.73326422,27.26903007,0,7,246,2.69,57,0,125,0,110,95,0,0.4069,0,5.12238,0.15106,0.71488,1.62681,0.29374
Buyubu,Bugiri,582815,59414,97.83183278,26.62485515,0,6.7,585,2.22,21,0,330,0,97,47,0,0.09621,0,11.87691,0.01788,0.38758,0.38375,0.52461
Kikabala,Bugiri,582485,58571,97.9358771,26.181826,0,6.6,533,2.75,36,0,290,0,220,125,0,0.00564,0,4.48113,0.00224,0.27989,0.01781,0.16367
Lubila,Bugiri,583041,57880,98.34049258,25.62040639,0,5.7,218,3.98,29,0,98,0,105,77,0,0.19449,0,7.09486,0.01352,2.28204,0.03977,0.02301
Bukonde,Bugiri,585561,62233,98.11814858,27.67876664,0,5.6,139,4.37,66,0,50,0,48,29,0,0.24617,0,3.92465,0.00315,5.32393,0.01966,0.01978
Nawambidi,Bugiri,593155,57813,102.5806693,23.04073039,0,6.8,376,2.05,18,0,165,0,145,105,0,0.43464,0,10.16964,0.00844,4.51209,0.03491,0.07286
Nawambidi A,Bugiri,592960,57742,102.5135137,23.05294885,0,6.6,692,1.84,4,0,360,0,300,165,0,0.43982,0,31.55526,0.01605,2.52018,0.01546,0.33127
Namayemba,Bugiri,589049,56897,101.0486991,23.575891,0,6.6,694,1.87,2,0,350,0,300,185,0,0.36287,0,26.91282,0.00584,2.44874,0.02757,0.09782
Namayemba East,Bugiri,587948,58204,100.2326938,24.5893318,0,5.8,208,2.39,16,0,77,0,90,60,0,0.32835,0,3.23099,0.00516,4.91619,0.002,0.12485
Ndifakulya,Bugiri,582906,63846,96.59321429,29.51689581,0,4.9,255,2.03,2,0,20,0,75,33,0,0.08023,0,4.55691,0.00356,15.90426,0.002,0.13348
Ndifakulya,Bugiri,582857,63591,96.64985851,29.35558303,0,4.9,166,2.39,12,0,17,0,48,24,0,0.0064,0,1.10713,0.04979,10.31733,0.04933,0.02928
Kimombasa,Bugiri,582819,63213,96.74675341,29.10797782,0,7.2,532,5.86,88,0,280,0,87,39,0,0.48323,0,14.4673,0.00054,2.17129,0.002,0.27431
Musongola,Bugiri,583153,61851,97.27391768,28.10200745,0,5.2,154,2.49,4,0,31,0,57,31,0,0.10689,0,1.37298,0.01351,7.40649,0.0101,0.04595
Masaba Igenge,Iganga,547731,64050,85.81134006,38.80297823,0,4.9,162,1.67,1,0,12,0,26,15,0,0.12436,0,38.72499,0.00502,4.28754,0.10471,0.02535
CMS,Iganga,550339,65890,85.85402576,40.12283858,0,5.3,384,1.74,6,0,31,0,110,69,0,0.09494,0,10.72362,0.05365,19.27067,0.02561,0.10437
Kasokoso estate,Iganga,552757,67752,85.85895471,41.52324492,0,6,926,1.85,2,0,110,0,250,170,0,0.12398,0,34.90636,0.19221,36.42471,2.03609,0.04292
Igulusa,Iganga,553164,70624,85.03728803,44.7511703,0,5.4,240,2.71,12,0,58,0,75,48,0,0.18074,0,23.90872,0.0313,5.57916,0.08384,0.10178
Namungalwe T/C,Iganga,554297,78825,82.46974197,56.54987169,0,5.9,151,2.41,20,0,44,0,53,29,0,0.18223,0,1.89453,0.00573,8.13293,0.01444,0.05082
Nambale,Iganga,556071,86301,80.0412229,73.63345493,0,6,231,1.94,19,0,92,0,67,34,0,0.23051,0,27.05817,0.00379,0.72995,0.03851,0.14343
Nambale,Iganga,556034,86571,79.92174901,74.58700045,0,5.6,218,2.09,17,0,20,0,65,37,0,0.28664,0,13.54606,0.00427,3.56057,0.04699,0.25885
Nabikoote,Iganga,553607,77104,82.92086034,53.84622868,0,5.2,108,1.91,3,0,33,0,27,9.6,0,0.05591,0,4.28733,0.00253,4.78982,0.002,0.08941
Busei,Iganga,555219,68380,86.28135167,41.53788189,0,5.4,276,1.85,2,0,48,0,50,30,0,0.08272,0,24.66327,0.00418,9.70475,0.002,0.03739
Bumbajje,Mukono,484934,27298,88.80452727,14.5153446,0,4.7,55,2.26,13,0,13,0,37,9.4,0,0.05034,0,2.50244,0.00324,3.04827,0.00132,0.03042
Kiyoora,Mukono,484135,28694,88.68121609,15.31102986,0,5.2,47,58.6,621,0,6.2,0,21,9.8,0,0.18287,0,8.28065,0.0018,0.15824,0.7069,0.13696
Bulonda,Mukono,480003,28177,89.09447294,14.9142639,0,4.5,90,1.92,2,0,5,0,13,7.8,0,0.08335,0,1.42719,0.00299,6.85782,0.002,0.02371
Katosi,Mukono,477748,16822,90.49861862,8.61757909,0,4.9,434,1.93,0.2432,0,8.4,0,67,44,0,0.09733,0,6.75086,0.00484,26.61152,0.0145,0.04084
Nakisunga,Mukono,477209,31013,88.98454184,16.49121012,0,4.7,43,2.34,18,0,8.8,0,11,7.8,0,0.0809,0,1.58269,0.00234,1.82294,0.04734,0.01742
Kisilamu,Mukono,475151,34025,88.75963314,18.22549185,0,4.8,96,2.1,5,0,17,0,24,13,0,0.11563,0,5.23856,0.00249,5.30713,0.00428,0.04775
Kitega Wanton,Mukono,473559,38474,88.2033635,20.94078467,0,5.1,122,2.84,29,0,15,0,30,15,0,0.1172,0,2.75104,0.00566,5.17801,0.12644,0.04336
Upper Kauga,Mukono,471067,40346,88.18338903,22.02391619,0,5.4,122,1.76,2,0,32,0,26,18,0,0.11354,0,1.72234,0.00832,6.14054,0.02089,0.11609
Vuumba,Luweero,0.605723,32.676042,#NUM!,-0.003406963,1,6.57,286,1.7,1,200.2,46,56.12,86.2,44.2,42,0.41131,18.3249,14.03802,0.00496,15.10519,0.04848,0.46958
Ndeeba Kakoni,Luweero,0.614298,32.68916,#NUM!,-0.003408332,44,6.45,169.9,1.6,13,118.93,51,62.22,41.2,21.2,20,0.36076,1.55855,20.59539,0.00263,4.62426,0.08792,1.03224
Bulami,Luweero,0.632672,32.700623,#NUM!,-0.00340953,1,6.64,108.5,1.9,14,75.95,37,45.14,33.4,16.4,17,0.20522,0.67499,0.80816,0.02196,3.84813,0.03488,0.33294
Kajjawo,Luweero,0.626347,32.707973,#NUM!,-0.003410296,1,5.27,187.8,1.4,8,131.46,13,15.86,29.8,15.2,14.6,0.09463,14.52271,24.96521,0.00739,10.01999,0.14477,0.17133
Zirobwe,Luweero,0.681463,32.699047,#NUM!,-0.003409373,0,6.5,1220,1.7,19,854,150,183,357.2,165.8,191.4,0.42447,173.8706,43.43394,2.30315,37.79263,0.1207,0.3615
Namakofu,Luweero,0.67265,32.674879,#NUM!,-0.003406852,1,6.74,331,2.3,12,231.7,100,122,82.6,51.8,30.8,0.77834,8.29878,36.57894,0.00639,6.15709,0.0675,0.55491
Namawojja,Luweero,0.665295,32.666728,#NUM!,-0.003406001,1,6.48,446,1.7,1,312.2,130,158.6,144.4,77.2,67.2,0.73177,27.63186,39.77444,0.00258,8.68669,0.06563,0.35988
Tawalulwa,Luweero,0.663028,32.64662,#NUM!,-0.003403904,1,6.38,302,1.9,7,211.4,110,134.2,102,46.6,55.4,0.45675,9.85516,27.66709,0.00194,3.21673,0.07008,0.38789
